
INTEGERS

1

  Bubble Sort     | random_int           | size=   1,000 |    23.8867 ms  (avg of 10 runs)
  Insertion Sort  | random_int           | size=   1,000 |    10.6383 ms  (avg of 10 runs)
  Heap Sort       | random_int           | size=   1,000 |     1.1551 ms  (avg of 10 runs)
  Selection Sort  | random_int           | size=   1,000 |    10.4475 ms  (avg of 10 runs)
  Merge Sort      | random_int           | size=   1,000 |     1.2852 ms  (avg of 10 runs)
  Bubble Sort     | sorted_int           | size=   1,000 |     0.0280 ms  (avg of 10 runs)
  Insertion Sort  | sorted_int           | size=   1,000 |     0.0513 ms  (avg of 10 runs)
  Heap Sort       | sorted_int           | size=   1,000 |     1.2411 ms  (avg of 10 runs)
  Selection Sort  | sorted_int           | size=   1,000 |    10.1827 ms  (avg of 10 runs)
  Merge Sort      | sorted_int           | size=   1,000 |     1.1296 ms  (avg of 10 runs)
  Bubble Sort     | reverse_sorted_int   | size=   1,000 |    28.9396 ms  (avg of 10 runs)
  Insertion Sort  | reverse_sorted_int   | size=   1,000 |    20.6260 ms  (avg of 10 runs)
  Heap Sort       | reverse_sorted_int   | size=   1,000 |     1.0655 ms  (avg of 10 runs)
  Selection Sort  | reverse_sorted_int   | size=   1,000 |    10.9758 ms  (avg of 10 runs)
  Merge Sort      | reverse_sorted_int   | size=   1,000 |     1.1102 ms  (avg of 10 runs)
  Bubble Sort     | almost_sorted_int    | size=   1,000 |    14.7895 ms  (avg of 10 runs)
  Insertion Sort  | almost_sorted_int    | size=   1,000 |     1.5071 ms  (avg of 10 runs)
  Heap Sort       | almost_sorted_int    | size=   1,000 |     1.2378 ms  (avg of 10 runs)
  Selection Sort  | almost_sorted_int    | size=   1,000 |    10.2295 ms  (avg of 10 runs)
  Merge Sort      | almost_sorted_int    | size=   1,000 |     1.1549 ms  (avg of 10 runs)
  Bubble Sort     | mixed_int            | size=   1,000 |    20.9544 ms  (avg of 10 runs)
  Insertion Sort  | mixed_int            | size=   1,000 |     8.1160 ms  (avg of 10 runs)
  Heap Sort       | mixed_int            | size=   1,000 |     1.1966 ms  (avg of 10 runs)
  Selection Sort  | mixed_int            | size=   1,000 |    10.2536 ms  (avg of 10 runs)
  Merge Sort      | mixed_int            | size=   1,000 |     1.2058 ms  (avg of 10 runs)
  Bubble Sort     | flat_int             | size=   1,000 |    19.0625 ms  (avg of 10 runs)
  Insertion Sort  | flat_int             | size=   1,000 |     6.8509 ms  (avg of 10 runs)
  Heap Sort       | flat_int             | size=   1,000 |     0.8353 ms  (avg of 10 runs)
  Selection Sort  | flat_int             | size=   1,000 |    11.0320 ms  (avg of 10 runs)
  Merge Sort      | flat_int             | size=   1,000 |     1.1562 ms  (avg of 10 runs)
  Bubble Sort     | random_int           | size=   5,000 |   636.1792 ms  (avg of 10 runs)
  Insertion Sort  | random_int           | size=   5,000 |   281.3270 ms  (avg of 10 runs)
  Heap Sort       | random_int           | size=   5,000 |     7.6309 ms  (avg of 10 runs)
  Selection Sort  | random_int           | size=   5,000 |   255.4549 ms  (avg of 10 runs)
  Merge Sort      | random_int           | size=   5,000 |     7.3507 ms  (avg of 10 runs)
  Bubble Sort     | sorted_int           | size=   5,000 |     0.1456 ms  (avg of 10 runs)
  Insertion Sort  | sorted_int           | size=   5,000 |     0.2719 ms  (avg of 10 runs)
  Heap Sort       | sorted_int           | size=   5,000 |     7.9952 ms  (avg of 10 runs)
  Selection Sort  | sorted_int           | size=   5,000 |   255.7282 ms  (avg of 10 runs)
  Merge Sort      | sorted_int           | size=   5,000 |     6.5552 ms  (avg of 10 runs)
  Bubble Sort     | reverse_sorted_int   | size=   5,000 |   787.7394 ms  (avg of 10 runs)
  Insertion Sort  | reverse_sorted_int   | size=   5,000 |   573.8166 ms  (avg of 10 runs)
  Heap Sort       | reverse_sorted_int   | size=   5,000 |     7.1553 ms  (avg of 10 runs)
  Selection Sort  | reverse_sorted_int   | size=   5,000 |   291.4437 ms  (avg of 10 runs)
