
INTEGERS

1

  Bubble Sort     | random_int           | size=      20 |     0.0084 ms  (avg of 100000 runs)
  Insertion Sort  | random_int           | size=      20 |     0.0049 ms  (avg of 100000 runs)
  Heap Sort       | random_int           | size=      20 |     0.0091 ms  (avg of 100000 runs)
  Selection Sort  | random_int           | size=      20 |     0.0054 ms  (avg of 100000 runs)
  Merge Sort      | random_int           | size=      20 |     0.0138 ms  (avg of 100000 runs)
  Quick Sort      | random_int           | size=      20 |     0.0050 ms  (avg of 100000 runs)
  Bubble Sort     | sorted_int           | size=      20 |     0.0006 ms  (avg of 100000 runs)
  Insertion Sort  | sorted_int           | size=      20 |     0.0010 ms  (avg of 100000 runs)
  Heap Sort       | sorted_int           | size=      20 |     0.0104 ms  (avg of 100000 runs)
  Selection Sort  | sorted_int           | size=      20 |     0.0050 ms  (avg of 100000 runs)
  Merge Sort      | sorted_int           | size=      20 |     0.0131 ms  (avg of 100000 runs)
  Quick Sort      | sorted_int           | size=      20 |     0.0111 ms  (avg of 100000 runs)
  Bubble Sort     | reverse_sorted_int   | size=      20 |     0.0110 ms  (avg of 100000 runs)
  Insertion Sort  | reverse_sorted_int   | size=      20 |     0.0081 ms  (avg of 100000 runs)
  Heap Sort       | reverse_sorted_int   | size=      20 |     0.0083 ms  (avg of 100000 runs)
  Selection Sort  | reverse_sorted_int   | size=      20 |     0.0054 ms  (avg of 100000 runs)
  Merge Sort      | reverse_sorted_int   | size=      20 |     0.0131 ms  (avg of 100000 runs)
  Quick Sort      | reverse_sorted_int   | size=      20 |     0.0087 ms  (avg of 100000 runs)
  Bubble Sort     | almost_sorted_int    | size=      20 |     0.0068 ms  (avg of 100000 runs)
  Insertion Sort  | almost_sorted_int    | size=      20 |     0.0022 ms  (avg of 100000 runs)
  Heap Sort       | almost_sorted_int    | size=      20 |     0.0099 ms  (avg of 100000 runs)
  Selection Sort  | almost_sorted_int    | size=      20 |     0.0049 ms  (avg of 100000 runs)
  Merge Sort      | almost_sorted_int    | size=      20 |     0.0135 ms  (avg of 100000 runs)
  Quick Sort      | almost_sorted_int    | size=      20 |     0.0106 ms  (avg of 100000 runs)
  Bubble Sort     | mixed_int            | size=      20 |     0.0079 ms  (avg of 100000 runs)
  Insertion Sort  | mixed_int            | size=      20 |     0.0040 ms  (avg of 100000 runs)
  Heap Sort       | mixed_int            | size=      20 |     0.0098 ms  (avg of 100000 runs)
  Selection Sort  | mixed_int            | size=      20 |     0.0053 ms  (avg of 100000 runs)
  Merge Sort      | mixed_int            | size=      20 |     0.0144 ms  (avg of 100000 runs)
  Quick Sort      | mixed_int            | size=      20 |     0.0049 ms  (avg of 100000 runs)
  Bubble Sort     | flat_int             | size=      20 |     0.0080 ms  (avg of 100000 runs)
  Insertion Sort  | flat_int             | size=      20 |     0.0043 ms  (avg of 100000 runs)
  Heap Sort       | flat_int             | size=      20 |     0.0067 ms  (avg of 100000 runs)
  Selection Sort  | flat_int             | size=      20 |     0.0052 ms  (avg of 100000 runs)
  Merge Sort      | flat_int             | size=      20 |     0.0137 ms  (avg of 100000 runs)
  Quick Sort      | flat_int             | size=      20 |     0.0070 ms  (avg of 100000 runs)
  Bubble Sort     | random_int           | size=      30 |     0.0187 ms  (avg of 100000 runs)
  Insertion Sort  | random_int           | size=      30 |     0.0106 ms  (avg of 100000 runs)
  Heap Sort       | random_int           | size=      30 |     0.0157 ms  (avg of 100000 runs)
  Selection Sort  | random_int           | size=      30 |     0.0106 ms  (avg of 100000 runs)
  Merge Sort      | random_int           | size=      30 |     0.0222 ms  (avg of 100000 runs)
  Quick Sort      | random_int           | size=      30 |     0.0083 ms  (avg of 100000 runs)
  Bubble Sort     | sorted_int           | size=      30 |     0.0008 ms  (avg of 100000 runs)
  Insertion Sort  | sorted_int           | size=      30 |     0.0014 ms  (avg of 100000 runs)
  Heap Sort       | sorted_int           | size=      30 |     0.0169 ms  (avg of 100000 runs)
  Selection Sort  | sorted_int           | size=      30 |     0.0099 ms  (avg of 100000 runs)
  Merge Sort      | sorted_int           | size=      30 |     0.0207 ms  (avg of 100000 runs)
  Quick Sort      | sorted_int           | size=      30 |     0.0221 ms  (avg of 100000 runs)
  Bubble Sort     | reverse_sorted_int   | size=      30 |     0.0232 ms  (avg of 100000 runs)
  Insertion Sort  | reverse_sorted_int   | size=      30 |     0.0177 ms  (avg of 100000 runs)
  Heap Sort       | reverse_sorted_int   | size=      30 |     0.0137 ms  (avg of 100000 runs)
  Selection Sort  | reverse_sorted_int   | size=      30 |     0.0108 ms  (avg of 100000 runs)
  Merge Sort      | reverse_sorted_int   | size=      30 |     0.0208 ms  (avg of 100000 runs)
  Quick Sort      | reverse_sorted_int   | size=      30 |     0.0171 ms  (avg of 100000 runs)
  Bubble Sort     | almost_sorted_int    | size=      30 |     0.0128 ms  (avg of 100000 runs)
  Insertion Sort  | almost_sorted_int    | size=      30 |     0.0032 ms  (avg of 100000 runs)
  Heap Sort       | almost_sorted_int    | size=      30 |     0.0170 ms  (avg of 100000 runs)
  Selection Sort  | almost_sorted_int    | size=      30 |     0.0100 ms  (avg of 100000 runs)
  Merge Sort      | almost_sorted_int    | size=      30 |     0.0211 ms  (avg of 100000 runs)
  Quick Sort      | almost_sorted_int    | size=      30 |     0.0189 ms  (avg of 100000 runs)
  Bubble Sort     | mixed_int            | size=      30 |     0.0163 ms  (avg of 100000 runs)
  Insertion Sort  | mixed_int            | size=      30 |     0.0075 ms  (avg of 100000 runs)
  Heap Sort       | mixed_int            | size=      30 |     0.0164 ms  (avg of 100000 runs)
  Selection Sort  | mixed_int            | size=      30 |     0.0105 ms  (avg of 100000 runs)
  Merge Sort      | mixed_int            | size=      30 |     0.0215 ms  (avg of 100000 runs)
  Quick Sort      | mixed_int            | size=      30 |     0.0081 ms  (avg of 100000 runs)
  Bubble Sort     | flat_int             | size=      30 |     0.0056 ms  (avg of 100000 runs)
  Insertion Sort  | flat_int             | size=      30 |     0.0038 ms  (avg of 100000 runs)
  Heap Sort       | flat_int             | size=      30 |     0.0065 ms  (avg of 100000 runs)
  Selection Sort  | flat_int             | size=      30 |     0.0104 ms  (avg of 100000 runs)
  Merge Sort      | flat_int             | size=      30 |     0.0214 ms  (avg of 100000 runs)
  Quick Sort      | flat_int             | size=      30 |     0.0174 ms  (avg of 100000 runs)
  Bubble Sort     | random_int           | size=      50 |     0.0496 ms  (avg of 100000 runs)
  Insertion Sort  | random_int           | size=      50 |     0.0268 ms  (avg of 100000 runs)
  Heap Sort       | random_int           | size=      50 |     0.0309 ms  (avg of 100000 runs)
  Selection Sort  | random_int           | size=      50 |     0.0261 ms  (avg of 100000 runs)
  Merge Sort      | random_int           | size=      50 |     0.0399 ms  (avg of 100000 runs)
  Quick Sort      | random_int           | size=      50 |     0.0150 ms  (avg of 100000 runs)
  Bubble Sort     | sorted_int           | size=      50 |     0.0013 ms  (avg of 100000 runs)
  Insertion Sort  | sorted_int           | size=      50 |     0.0023 ms  (avg of 100000 runs)
  Heap Sort       | sorted_int           | size=      50 |     0.0330 ms  (avg of 100000 runs)
  Selection Sort  | sorted_int           | size=      50 |     0.0249 ms  (avg of 100000 runs)
