large size lists

algorithm,structure,size,runs,avg_time_s,avg_time_ms
Heap Sort,random_int,100000,3,0.251775033,251.775033
Merge Sort,random_int,100000,3,0.201790833,201.790833
Quick Sort,random_int,100000,3,0.118523367,118.523367
Heap Sort,sorted_int,100000,3,0.233092367,233.092367
Merge Sort,sorted_int,100000,3,0.180451,180.451
Quick Sort,sorted_int,100000,3,-1,-1000
Heap Sort,reverse_sorted_int,100000,3,0.204391133,204.391133
Merge Sort,reverse_sorted_int,100000,3,0.177227933,177.227933
Quick Sort,reverse_sorted_int,100000,3,-1,-1000
Heap Sort,almost_sorted_int,100000,3,0.253689833,253.689833
Merge Sort,almost_sorted_int,100000,3,0.255496467,255.496467
Quick Sort,almost_sorted_int,100000,3,0.237064233,237.064233
Heap Sort,mixed_int,100000,3,0.2412622,241.2622
Merge Sort,mixed_int,100000,3,0.1979833,197.9833
Quick Sort,mixed_int,100000,3,0.1358431,135.8431
Heap Sort,flat_int,100000,3,0.154190067,154.190067
Merge Sort,flat_int,100000,3,0.185112233,185.112233
Quick Sort,flat_int,100000,3,-1,-1000
Heap Sort,random_int,500000,3,1.615315867,1615.315867
Merge Sort,random_int,500000,3,1.181144467,1181.144467
Quick Sort,random_int,500000,3,1.131388933,1131.388933
Heap Sort,sorted_int,500000,3,1.347712567,1347.712567
Merge Sort,sorted_int,500000,3,1.146408733,1146.408733
Quick Sort,sorted_int,500000,3,-1,-1000
Heap Sort,reverse_sorted_int,500000,3,1.282238367,1282.238367
Merge Sort,reverse_sorted_int,500000,3,1.143756967,1143.756967
Quick Sort,reverse_sorted_int,500000,3,-1,-1000
Heap Sort,almost_sorted_int,500000,3,1.329087233,1329.087233
Merge Sort,almost_sorted_int,500000,3,1.2967072,1296.7072
Quick Sort,almost_sorted_int,500000,3,2.7026753,2702.6753
Heap Sort,mixed_int,500000,3,1.416268033,1416.268033
Merge Sort,mixed_int,500000,3,1.1019833,1101.9833
Quick Sort,mixed_int,500000,3,1.155804933,1155.804933
Heap Sort,flat_int,500000,3,0.895339033,895.339033
Merge Sort,flat_int,500000,3,0.974192,974.192
Quick Sort,flat_int,500000,3,-1,-1000
Heap Sort,random_int,1000000,3,3.424391367,3424.391367
Merge Sort,random_int,1000000,3,2.489796633,2489.796633
Quick Sort,random_int,1000000,3,3.566381133,3566.381133
Heap Sort,sorted_int,1000000,3,2.574554167,2574.554167
Merge Sort,sorted_int,1000000,3,2.8221764,2822.1764
Quick Sort,sorted_int,1000000,3,-1,-1000
Heap Sort,reverse_sorted_int,1000000,3,2.763490567,2763.490567
Merge Sort,reverse_sorted_int,1000000,3,2.828907433,2828.907433
Quick Sort,reverse_sorted_int,1000000,3,-1,-1000
Heap Sort,almost_sorted_int,1000000,3,5.794200167,5794.200167
Merge Sort,almost_sorted_int,1000000,3,5.913370433,5913.370433
Quick Sort,almost_sorted_int,1000000,3,8.226964667,8226.964667
Heap Sort,mixed_int,1000000,3,3.479114933,3479.114933
Merge Sort,mixed_int,1000000,3,2.7629978,2762.9978
Quick Sort,mixed_int,1000000,3,3.9347911,3934.7911
Heap Sort,flat_int,1000000,3,1.566748233,1566.748233
Merge Sort,flat_int,1000000,3,2.066324533,2066.324533
Quick Sort,flat_int,1000000,3,-1,-1000

